No,Module,Page,Sub-Page,Session,Field,Description,DataType,Mapping_Type,Mapping_APIs_Database_Table,Mapping_Field_Name,Sample_Value,Remark
1,Inventory Management,Inventory Detail,Page Header,Header,Back Button,Button to return to store inventory,N/A,N/A,N/A,back_button,N/A,Navigation to previous page
2,Inventory Management,Inventory Detail,Product Header,Product Image,Product Image,Large product thumbnail,VARCHAR(256),Direct,pim_master_product_base_info,image_url,https://cdn.../product.jpg,400x400px desktop - responsive mobile
3,Inventory Management,Inventory Detail,Product Header,Product Info,Product Name,Product name heading,VARCHAR(256),Direct,pim_master_product_base_info,name_en,Betagen Fermented Milk 400ml,3xl font - bold
4,Inventory Management,Inventory Detail,Product Header,Product Info,Category,Product category label,VARCHAR(255),Direct,pim_lov_product_category,category_name,Beverages,Muted text - descriptive
5,Inventory Management,Inventory Detail,Product Details,Product Meta,Barcode,Product barcode/SKU with icon,VARCHAR(13),Direct,inv_master_stock,item_id,885000000001,Icon: Barcode icon - monospace font
6,Inventory Management,Inventory Detail,Product Details,Product Meta,Item Type,Product unit type with icon,VARCHAR(50),Fixed value,pim_master_product_base_info,is_sold_by_weight,"Pack Item (pieces), Weight Item (kg)",Icon: Scale or Package
7,Inventory Management,Inventory Detail,Product Details,Product Meta,Supply Type,Supply availability type with badge,VARCHAR(50),Fixed value,inv_master_stock,supply_type,"On Hand Available, Pre-Order",Icon + Badge with tooltip
8,Inventory Management,Inventory Detail,Product Details,Product Meta,Stock Config,Stock configuration status with icon,VARCHAR(50),Direct,inv_master_stock,config,Configured,Icon: Valid checkmark or dash
9,Inventory Management,Inventory Detail,Product Details,Product Meta,Last Restocked,Last restock date/time,TIMESTAMP,Direct,inv_master_stock,last_updated,January 20 2026 at 05:58 PM,Formatted locale string - muted
10,Inventory Management,Inventory Detail,Stock Breakdown,Available Stock Card,Available Stock Title,Stock available for sale label,VARCHAR(255),Fixed value,N/A,available_stock_label,Available Stock,Green card - with CheckCircle icon
11,Inventory Management,Inventory Detail,Stock Breakdown,Available Stock Card,Available Stock Quantity,Current available stock number,INTEGER,Direct,inv_master_stock,available_stock,42,Formatted number with thousands separator
12,Inventory Management,Inventory Detail,Stock Breakdown,Available Stock Card,Available Stock Percentage,Percentage of total,VARCHAR(50),Logic,inv_master_stock,"(available_stock / total_stock) * 100",81% of total,Calculated percentage display
13,Inventory Management,Inventory Detail,Stock Breakdown,Available Stock Card,Available Stock Progress Bar,Visual progress indicator,INT,Logic,inv_master_stock,available_stock,42,Green color - shows proportion
14,Inventory Management,Inventory Detail,Stock Breakdown,Available Stock Card,Available Stock Tooltip,Hover information,VARCHAR(255),Fixed value,N/A,available_stock_tooltip,"Stock currently available for sale to customers",Help text on hover
15,Inventory Management,Inventory Detail,Stock Breakdown,Reserved Stock Card,Reserved Stock Title,Stock allocated label,VARCHAR(255),Fixed value,N/A,reserved_stock_label,Reserved Stock,Orange card - with ShoppingCart icon
16,Inventory Management,Inventory Detail,Stock Breakdown,Reserved Stock Card,Reserved Stock Quantity,Quantity allocated to orders,INTEGER,Direct,inv_master_stock,reserved_stock,5,Formatted number
17,Inventory Management,Inventory Detail,Stock Breakdown,Reserved Stock Card,Reserved Stock Percentage,Percentage of total,VARCHAR(50),Logic,inv_master_stock,"(reserved_stock / total_stock) * 100",10% of total,Calculated percentage
18,Inventory Management,Inventory Detail,Stock Breakdown,Reserved Stock Card,Reserved Stock Progress Bar,Visual allocation indicator,INT,Logic,inv_master_stock,reserved_stock,5,Orange color
19,Inventory Management,Inventory Detail,Stock Breakdown,Reserved Stock Card,Reserved Stock Tooltip,Hover information,VARCHAR(255),Fixed value,N/A,reserved_stock_tooltip,"Stock allocated to pending orders and not available for sale",Help text
20,Inventory Management,Inventory Detail,Stock Breakdown,Safety Stock Card,Safety Stock Title,Minimum buffer label,VARCHAR(255),Fixed value,N/A,safety_stock_label,Safety Stock,Blue card - with Shield icon
21,Inventory Management,Inventory Detail,Stock Breakdown,Safety Stock Card,Safety Stock Quantity,Minimum threshold quantity,INTEGER,Direct,inv_master_stock,safety_stock,10,Formatted number
22,Inventory Management,Inventory Detail,Stock Breakdown,Safety Stock Card,Safety Stock Percentage,Percentage of max capacity,VARCHAR(50),Logic,inv_master_stock,"(safety_stock / max_capacity) * 100",5% of max,Calculated percentage
23,Inventory Management,Inventory Detail,Stock Breakdown,Safety Stock Card,Safety Stock Progress Bar,Visual threshold indicator,INT,Logic,inv_master_stock,safety_stock,10,Blue color
24,Inventory Management,Inventory Detail,Stock Breakdown,Safety Stock Card,Safety Stock Tooltip,Hover information,VARCHAR(255),Fixed value,N/A,safety_stock_tooltip,"Minimum buffer quantity to prevent stockouts and ensure continuity",Help text
25,Inventory Management,Inventory Detail,Stock Breakdown,Total Stock Card,Total Stock Title,Total inventory label,VARCHAR(255),Fixed value,N/A,total_stock_label,Total Stock,Gray card - with Package icon
