No,Module,Page,Sub-Page,Session,Field,Description,DataType,Mapping_Type,Mapping_APIs_Database_Table,Mapping_Field_Name,Sample_Value,Remark
1,Order Management,Order Management,Filtering,Basic Filters,Search,"Search by order #, customer name, email, phone",VARCHAR(255),Logic,"order, customer","order_id, customer_name, customer_email, customer_phone",W1156251121946800,Multi-field search with LIKE operator
2,Order Management,Order Management,Filtering,Basic Filters,Order Status,Filter by order status,VARCHAR(255),Fixed value,order,order_status,"DELIVERED, PROCESSING, CANCELLED",Dropdown with predefined status values
3,Order Management,Order Management,Filtering,Basic Filters,Store No,Filter by store number,VARCHAR(100),Direct,master_locations,location_id,STR-0001,Store selection dropdown
4,Order Management,Order Management,Filtering,Basic Filters,Channel,Filter by selling channel,VARCHAR(255),Fixed value,order,selling_channel,"web, shopee, lazada",Channel dropdown (TOL/MKP variants)
5,Order Management,Order Management,Filtering,Basic Filters,Payment Status,Filter by payment status,VARCHAR(255),Fixed value,order,payment_status,"PAID, PENDING, FAILED",Payment status dropdown
6,Order Management,Order Management,Filtering,Basic Filters,Payment Method,Filter by payment method,VARCHAR(255),Direct,order,payment_method,"CREDIT_CARD, COD, BANK_TRANSFER",Payment method dropdown
7,Order Management,Order Management,Filtering,Basic Filters,Order Date From,Filter orders from date,TIMESTAMP,Logic,order,created_at,2025-11-21,Date range picker (from)
8,Order Management,Order Management,Filtering,Basic Filters,Order Date To,Filter orders to date,TIMESTAMP,Logic,order,created_at,2025-11-21,Date range picker (to)
9,Order Management,Order Management,Filtering,Advanced Filters,SKU,Search by product SKU,VARCHAR(255),Direct,order_items,sku,SKU-123456,Product search - SKU field
10,Order Management,Order Management,Filtering,Advanced Filters,Item Name,Search by product item name,VARCHAR(255),Direct,order_items,product_name,Product Name,Product search - Item name field
11,Order Management,Order Management,Filtering,Advanced Filters,Customer Name,Search by customer name,VARCHAR(255),Direct,customer,"first_name, last_name",WEERAPAT WIRUNTANGTRAKUL,Customer search - Full name
12,Order Management,Order Management,Filtering,Advanced Filters,Email,Search by customer email,VARCHAR(255),Direct,customer,email,wee.wirun@gmail.com,Customer search - Email address
13,Order Management,Order Management,Filtering,Advanced Filters,Phone,Search by customer phone,VARCHAR(20),Direct,customer,phone,0804411221,Customer search - Phone number
14,Order Management,Order Management,Filtering,Advanced Filters,Order Type,Filter by order type,VARCHAR(255),Fixed value,order,order_type,"DELIVERY, PICKUP, SHIP_TO_STORE",Order type dropdown
15,Order Management,Order Management,Order list,Order list,ORDER ID,ORDER ID,VARCHAR(255),Direct,order.order_id,order.order_id,W1156251121946800,
16,Order Management,Order Management,Order list,Order list,ORDER SHORT,ORDER SHORT,VARCHAR(255),Direct,order.short_order_number,order.short_order_number,W1156251121946800,
17,Order Management,Order Management,Order list,Order list,BUSINESS UNIT,BUSINESS UNIT,VARCHAR(255),Direct,order.org_id,order.org_id,,
18,Order Management,Order Management,Order list,Order list,STORE NO.,STORE NO.,VARCHAR(100),Direct,master_locations.location_id,master_locations.location_id,STR-0001,
19,Order Management,Order Management,Order list,Order list,ORDER TOTAL,ORDER TOTAL,"DECIMAL(18,4)",Direct,order.order_total,order.order_total,฿933,
20,Order Management,Order Management,Order list,Order list,ORDER STATUS,ORDER STATUS,VARCHAR(255),Direct,order.order_status,order.order_status,DELIVERED,
21,Order Management,Order Management,Order list,Order list,ORDER TYPE,ORDER TYPE,JSONB,Direct,order.order_type,order.order_type,DELIVERY,
22,Order Management,Order Management,Order list,Order list,SLA STATUS,SLA STATUS,Calculated,Logic,Calculated,Calculated,2m BREACH,
23,Order Management,Order Management,Order list,Order list,ORDER CAPTURED,Order date (Captured Date),TIMESTAMP,Direct,order.captured_date,order.captured_date,,Order date (Captured Date)
24,Order Management,Order Management,Order list,Order list,ORDER CREATED,ORDER CREATED,TIMESTAMP,Direct,order.created_at,order.created_at,2025-11-21 10:42:00,
25,Order Management,Order Management,Order list,Order list,PAYMENT STATUS,PAYMENT STATUS,VARCHAR(255),Direct,order.payment_status,order.payment_status,PAID,
26,Order Management,Order Management,Order list,Order list,SELLING CHANNEL,SELLING CHANNEL,VARCHAR(255),Direct,order.selling_channel,order.selling_channel,web,
27,Order Management,Order Management,Order list,Order list,SELLING STORE NAME,SELLING STORE NAME,VARCHAR(255),Direct,order.org_id,order.org_id,,
28,Order Management,Order Management,Order list,Order list,RETURN STATUS,RETURN STATUS,BOOLEAN,Direct,order.is_post_return,order.is_post_return,NONE,
