No,Module,Page,Sub-Page,Session,Field,Description,DataType,Mapping_Type,Mapping_APIs_Database_Table,Mapping_Field_Name,Sample_Value,Remark
1,Inventory Management,Stock Card,Page Header,Header,Page Title,Stock Card page title,VARCHAR(255),Fixed value,N/A,page_title,Stock Card,Main page heading
2,Inventory Management,Stock Card,Page Header,Header,Page Description,Stock Card page description,VARCHAR(500),Fixed value,N/A,page_description,View inventory performance and stock levels across all store locations,Subtitle under heading
3,Inventory Management,Stock Card,Page Header,Header,Refresh Button,Refresh data with current filters,N/A,N/A,N/A,refresh_button,N/A,Triggers data reload with spinner
4,Inventory Management,Stock Card,Search Filters,View Selection,View Type Filter,Filter by organization/channel view,VARCHAR(255),Fixed value,"pim_master_org, inv_master_stock",view_type,"ECOM-TH-CFR-LOCD-STD, ECOM-TH-CFR-LOCD-MKP, MKP-TH-CFR-LOCD-STD, ECOM-TH-DSS-NW-STD, ECOM-TH-DSS-LOCD-EXP",Dropdown with 5 predefined org/channel options - width: 280px fixed
5,Inventory Management,Stock Card,Search Filters,Store Search,Search Store ID,Search input for store location ID,VARCHAR(50),Direct,master_locations,location_id,CFR3841,Text input with minimum 2 characters required
6,Inventory Management,Stock Card,Search Filters,Store Search,Search Store Name,Search input for store name,VARCHAR(255),Direct,master_locations,location_name,Tops Central World,Text input with minimum 2 characters required
7,Inventory Management,Stock Card,Search Filters,Controls,Clear All Button,Clear all search filters and view selection,N/A,N/A,N/A,clear_all_button,N/A,Clears view type and both search fields when clicked
8,Inventory Management,Stock Card,Results Table,Column,Store Name,Store location name in results,VARCHAR(255),Direct,master_locations,location_name,Tops Central World,Sortable column with icon (MapPin) - 300px width - bold font - clickable row
9,Inventory Management,Stock Card,Results Table,Column,Store ID,Store location identifier in results,VARCHAR(50),Direct,master_locations,location_id,CFR3841,Sortable column - monospace font - muted color - 150px width - shows — if missing
10,Inventory Management,Stock Card,Results Table,Column,Total Products,Total number of products in store,INTEGER,Direct,inv_master_stock,COUNT(product_id),7,Sortable column - integer display - center-aligned - bold font
11,Inventory Management,Stock Card,Results Table,Column,Low Stock,Number of products below safety threshold,INTEGER,Direct,inv_master_stock,COUNT(WHERE stock_on_hand < safety_stock),0,Sortable column - center-aligned - yellow badge if value > 0
12,Inventory Management,Stock Card,Results Table,Column,Out of Stock,Number of products with zero stock,INTEGER,Logic,inv_master_stock,COUNT(WHERE stock_on_hand = 0),0,Sortable column (default sort: descending) - center-aligned - red badge if value > 0 - shows ↓ sort indicator
13,Inventory Management,Stock Card,Results Table,Column,Action Icon,Expandable/clickable row indicator,N/A,N/A,N/A,action_icon,ChevronRight,Not sortable - right-aligned - row navigation trigger
14,Inventory Management,Stock Card,Results Table,Sorting,Sortable Columns,Columns supporting sort operations,VARCHAR(100),Fixed value,N/A,sortable_columns,"Store Name, Store ID, Total Products, Low Stock, Out of Stock",Click header to toggle sort direction
15,Inventory Management,Stock Card,Results Table,Sorting,Default Sort Field,Initial sort column on page load,VARCHAR(50),Fixed value,N/A,default_sort_field,Out of Stock (criticalStockItems),Descending order - shows critical items first
16,Inventory Management,Stock Card,Results Table,Sorting,Sort Order,Current sort direction (ascending or descending),VARCHAR(10),Logic,N/A,sort_order,"asc or desc, toggled on column click",Visual indicators: ↑ for ascending, ↓ for descending
17,Inventory Management,Stock Card,Results Table,Row Behavior,Row Click Navigation,Store name row click action,VARCHAR(500),Logic,N/A,row_click_target,"/inventory-new?store=Tops%20Central%20World",Navigates to inventory detail page with store context
18,Inventory Management,Stock Card,Results Table,Styling,Row Alternating Background,Visual alternation of table rows,VARCHAR(50),Fixed value,N/A,row_bg_alternation,"bg-muted/30 on odd rows, normal on even rows",Improves readability of dense data
19,Inventory Management,Stock Card,Results Table,Styling,Row Hover Effect,Mouse over row styling,VARCHAR(50),Fixed value,N/A,row_hover_effect,"hover:bg-muted/50 transition-colors with cursor-pointer",Indicates row is interactive
20,Inventory Management,Stock Card,Search Behavior,Validation,Minimum Search Length,Minimum characters required for search,INTEGER,Fixed value,N/A,min_search_chars,2,Search requires at least 2 characters in Store ID or Store Name
21,Inventory Management,Stock Card,Search Behavior,Debounce,Search Debounce Duration,Delay before search triggers data fetch,INTEGER,Fixed value,N/A,debounce_ms,400,Milliseconds to wait after typing before fetching data
22,Inventory Management,Stock Card,Data Loading,Loading State,Skeleton Cards Display,Loading indicator while fetching data,N/A,N/A,N/A,loading_state,Skeleton cards,Shows placeholder cards during data load
23,Inventory Management,Stock Card,Data Loading,Error State,Error Message Display,Error message when data fetch fails,VARCHAR(255),Fixed value,N/A,error_message,"Failed to load store performance data",Shows with retry button option
24,Inventory Management,Stock Card,Empty State,No Selection,Initial Empty Message,Message when no view or search criteria provided,VARCHAR(255),Fixed value,N/A,empty_message_no_selection,"Select a view type or search for a store to display data",Shown when page loads without filters
25,Inventory Management,Stock Card,Empty State,Insufficient Search,Insufficient Criteria Message,Message when search criteria < 2 characters,VARCHAR(255),Fixed value,N/A,empty_message_insufficient,"Enter at least 2 characters to search",Guidance when user types too few characters
26,Inventory Management,Stock Card,Page Interactions,Organization Filtering,Organization Context Filter,Data filtered by selected organization,VARCHAR(255),Logic,"useOrganization() context",selected_organization,"ECOM-TH-CFR-LOCD-STD or 'ALL'",Applied only when value != 'ALL'
27,Inventory Management,Stock Card,Page Interactions,View Type Persistence,View Type localStorage,View type selection persists across page reloads,VARCHAR(255),Logic,"useInventoryView() context",view_type_storage,"ECOM-TH-CFR-LOCD-STD",Stores selected view in localStorage
